,idx,real_data,sim_data,timestep,timeunit,Diff
605,605,0,0,1200.0,10000.0,0
606,606,1,0,1200.0,10000.0,1
607,607,0,0,1200.0,10000.0,0
608,608,0,0,1200.0,10000.0,0
609,609,2,0,1200.0,10000.0,2
610,610,2,0,1200.0,10000.0,2
611,611,2,1,1200.0,10000.0,1
612,612,4,0,1200.0,10000.0,4
613,613,5,1,1200.0,10000.0,4
614,614,5,0,1200.0,10000.0,5
615,615,5,0,1200.0,10000.0,5
616,616,5,0,1200.0,10000.0,5
617,617,4,0,1200.0,10000.0,4
618,618,4,1,1200.0,10000.0,3
619,619,5,0,1200.0,10000.0,5
620,620,3,2,1200.0,10000.0,1
621,621,3,1,1200.0,10000.0,2
622,622,5,1,1200.0,10000.0,4
623,623,4,0,1200.0,10000.0,4
624,624,4,0,1200.0,10000.0,4
625,625,5,0,1200.0,10000.0,5
626,626,5,0,1200.0,10000.0,5
627,627,5,0,1200.0,10000.0,5
628,628,5,1,1200.0,10000.0,4
629,629,5,0,1200.0,10000.0,5
630,630,6,3,1200.0,10000.0,3
631,631,5,0,1200.0,10000.0,5
632,632,5,0,1200.0,10000.0,5
633,633,4,0,1200.0,10000.0,4
634,634,2,0,1200.0,10000.0,2
635,635,4,0,1200.0,10000.0,4
636,636,4,0,1200.0,10000.0,4
637,637,6,0,1200.0,10000.0,6
638,638,5,0,1200.0,10000.0,5
639,639,5,0,1200.0,10000.0,5
640,640,5,0,1200.0,10000.0,5
641,641,4,0,1200.0,10000.0,4
642,642,2,0,1200.0,10000.0,2
643,643,3,0,1200.0,10000.0,3
644,644,3,1,1200.0,10000.0,2
645,645,5,3,1200.0,10000.0,2
646,646,5,0,1200.0,10000.0,5
647,647,3,0,1200.0,10000.0,3
648,648,5,0,1200.0,10000.0,5
649,649,4,0,1200.0,10000.0,4
650,650,5,0,1200.0,10000.0,5
651,651,5,1,1200.0,10000.0,4
652,652,5,0,1200.0,10000.0,5
653,653,5,0,1200.0,10000.0,5
654,654,3,0,1200.0,10000.0,3
655,655,3,0,1200.0,10000.0,3
656,656,4,0,1200.0,10000.0,4
657,657,6,1,1200.0,10000.0,5
658,658,5,0,1200.0,10000.0,5
659,659,4,2,1200.0,10000.0,2
660,660,5,0,1200.0,10000.0,5
661,661,2,0,1200.0,10000.0,2
662,662,5,0,1200.0,10000.0,5
663,663,5,0,1200.0,10000.0,5
664,664,5,0,1200.0,10000.0,5
665,665,4,0,1200.0,10000.0,4
666,666,5,0,1200.0,10000.0,5
667,667,5,0,1200.0,10000.0,5
668,668,5,0,1200.0,10000.0,5
669,669,5,0,1200.0,10000.0,5
670,670,6,0,1200.0,10000.0,6
671,671,6,0,1200.0,10000.0,6
672,672,3,0,1200.0,10000.0,3
